loan_ref,branch_ref,loan_status,repayment_cycle,installments,principal_amount,interest_amount,total_amount,total_paid,outstanding_balance,arrears_amount,issued_date,expected_completion_date,actual_completion_date,overdue_days
LN-SAMPLE-0020,BR-02,pending,4 weeks,4,8000.00,1200.00,9200.00,0.00,9200.00,0.00,2026-02-04,2026-03-04,,0
LN-SAMPLE-0021,BR-01,written_off,6 weeks,6,10000.00,1500.00,11500.00,3266.63,8233.37,8233.37,2026-01-30,2026-03-13,,222
LN-SAMPLE-0022,BR-03,overdue,12 weeks,12,15000.00,2250.00,17250.00,7874.18,9375.82,3736.68,2025-09-11,2025-12-04,,52
LN-SAMPLE-0023,BR-06,overdue,12 weeks,12,8000.00,800.00,8800.00,1161.71,7638.29,2111.93,2025-09-24,2025-12-17,,3
LN-SAMPLE-0024,BR-02,closed,4 weeks,4,8000.00,1200.00,9200.00,9200.00,0.00,0.00,2025-07-01,2025-07-29,2025-07-26,0
LN-SAMPLE-0025,BR-01,defaulted,8 weeks,8,8000.00,1200.00,9200.00,1024.80,8175.20,8175.20,2025-09-30,2025-11-25,,214
LN-SAMPLE-0026,BR-02,overdue,12 weeks,12,15000.00,1800.00,16800.00,3279.44,13520.56,4025.00,2025-12-26,2026-03-20,,13
LN-SAMPLE-0027,BR-03,overdue,12 weeks,12,5000.00,750.00,5750.00,749.26,5000.74,1701.14,2025-07-21,2025-10-13,,44
LN-SAMPLE-0028,BR-01,active,6 weeks,6,40000.00,4000.00,44000.00,10051.43,33948.57,0.00,2026-01-03,2026-02-14,,0
LN-SAMPLE-0029,BR-04,active,4 weeks,4,40000.00,6000.00,46000.00,6228.94,39771.06,0.00,2025-07-21,2025-08-18,,0
LN-SAMPLE-0030,BR-05,cancelled,4 weeks,4,15000.00,1500.00,16500.00,0.00,0.00,0.00,2025-12-26,2026-01-23,,0
LN-SAMPLE-0031,BR-04,overdue,12 weeks,12,5000.00,500.00,5500.00,555.93,4944.07,887.76,2025-12-12,2026-03-06,,50
LN-SAMPLE-0032,BR-04,active,12 weeks,12,10000.00,1000.00,11000.00,2776.30,8223.70,0.00,2025-10-30,2026-01-22,,0
LN-SAMPLE-0033,BR-01,closed,4 weeks,4,25000.00,2500.00,27500.00,27500.00,0.00,0.00,2025-06-26,2025-07-24,2025-07-15,0
LN-SAMPLE-0034,BR-04,overdue,6 weeks,6,5000.00,750.00,5750.00,3022.61,2727.39,759.61,2025-07-12,2025-08-23,,9
LN-SAMPLE-0035,BR-06,defaulted,12 weeks,12,8000.00,1200.00,9200.00,2130.42,7069.58,7069.58,2025-10-05,2025-12-28,,100
LN-SAMPLE-0036,BR-05,active,8 weeks,8,20000.00,2000.00,22000.00,5875.76,16124.24,0.00,2025-11-08,2026-01-03,,0
LN-SAMPLE-0037,BR-04,active,8 weeks,8,40000.00,4800.00,44800.00,4772.13,40027.87,0.00,2025-07-08,2025-09-02,,0
LN-SAMPLE-0038,BR-05,written_off,4 weeks,4,8000.00,1200.00,9200.00,1396.24,7803.76,7803.76,2025-09-18,2025-10-16,,213
LN-SAMPLE-0039,BR-03,defaulted,6 weeks,6,25000.00,3000.00,28000.00,4907.67,23092.33,23092.33,2025-08-20,2025-10-01,,229
LN-SAMPLE-0040,BR-06,active,4 weeks,4,20000.00,3000.00,23000.00,17416.77,5583.23,0.00,2025-07-24,2025-08-21,,0
LN-SAMPLE-0041,BR-02,active,4 weeks,4,10000.00,1200.00,11200.00,5861.87,5338.13,0.00,2025-10-23,2025-11-20,,0
LN-SAMPLE-0042,BR-06,active,8 weeks,8,40000.00,4800.00,44800.00,7374.48,37425.52,0.00,2025-06-27,2025-08-22,,0
LN-SAMPLE-0043,BR-04,cancelled,4 weeks,4,5000.00,600.00,5600.00,0.00,0.00,0.00,2025-08-06,2025-09-03,,0
LN-SAMPLE-0044,BR-06,written_off,6 weeks,6,40000.00,6000.00,46000.00,7740.51,38259.49,38259.49,2026-01-05,2026-02-16,,208
LN-SAMPLE-0045,BR-01,defaulted,6 weeks,6,5000.00,600.00,5600.00,1237.66,4362.34,4362.34,2026-03-26,2026-05-07,,200
LN-SAMPLE-0046,BR-02,pending,8 weeks,8,5000.00,600.00,5600.00,0.00,5600.00,0.00,2025-09-16,2025-11-11,,0
LN-SAMPLE-0047,BR-06,active,4 weeks,4,25000.00,3750.00,28750.00,22473.47,6276.53,0.00,2025-12-26,2026-01-23,,0
LN-SAMPLE-0048,BR-06,active,6 weeks,6,10000.00,1000.00,11000.00,1290.85,9709.15,0.00,2025-12-29,2026-02-09,,0
LN-SAMPLE-0049,BR-06,defaulted,12 weeks,12,15000.00,1800.00,16800.00,5291.16,11508.84,11508.84,2025-08-21,2025-11-13,,117
LN-SAMPLE-0050,BR-04,defaulted,12 weeks,12,15000.00,1500.00,16500.00,2307.75,14192.25,14192.25,2026-01-22,2026-04-16,,148
LN-SAMPLE-0051,BR-02,pending,6 weeks,6,30000.00,3600.00,33600.00,0.00,33600.00,0.00,2025-10-21,2025-12-02,,0
LN-SAMPLE-0052,BR-01,written_off,8 weeks,8,25000.00,3750.00,28750.00,3447.23,25302.77,25302.77,2026-02-16,2026-04-13,,317
LN-SAMPLE-0053,BR-03,defaulted,4 weeks,4,20000.00,2000.00,22000.00,8470.30,13529.70,13529.70,2026-03-25,2026-04-22,,157
LN-SAMPLE-0054,BR-01,active,12 weeks,12,25000.00,3750.00,28750.00,11657.43,17092.57,0.00,2025-11-08,2026-01-31,,0
LN-SAMPLE-0055,BR-05,active,6 weeks,6,20000.00,2000.00,22000.00,2226.05,19773.95,0.00,2026-01-10,2026-02-21,,0
LN-SAMPLE-0056,BR-05,closed,6 weeks,6,25000.00,3000.00,28000.00,28000.00,0.00,0.00,2025-07-06,2025-08-17,2025-08-07,0
LN-SAMPLE-0057,BR-03,closed,4 weeks,4,20000.00,3000.00,23000.00,23000.00,0.00,0.00,2025-11-06,2025-12-04,2025-11-24,0
LN-SAMPLE-0058,BR-04,active,8 weeks,8,10000.00,1000.00,11000.00,6219.96,4780.04,0.00,2026-01-02,2026-02-27,,0
LN-SAMPLE-0059,BR-04,closed,6 weeks,6,20000.00,2400.00,22400.00,22400.00,0.00,0.00,2026-03-08,2026-04-19,2026-04-19,0
LN-SAMPLE-0060,BR-03,active,12 weeks,12,25000.00,3000.00,28000.00,11466.33,16533.67,0.00,2026-01-13,2026-04-07,,0
